    7.1793  2  1   24.3019   14.9704    7.6196    0.0000    2.0018    0.8383    0.1099    0.0094    5.3403    4.4664  0.2521E+02  0.1403E+04 -0.1148E-05 -0.7856E-09  0.2168E+04  0.000
    7.1801  2  1   24.3002   14.9704    7.5576    0.0000    2.1166    0.8383    0.1431    0.0094    5.3420    4.4664  0.1538E+02  0.1403E+04 -0.1981E-05  0.7069E-08  0.2168E+04  0.000
    7.1810  2  1   24.2981   14.9704    7.5164    0.0000    2.2455    0.8384    0.1926    0.0094    5.3441    4.4664  0.8790E+01  0.1403E+04 -0.2466E-05  0.1894E-07  0.2169E+04  0.000
    7.1818  2  1   24.2955   14.9704    7.4808    0.0000    2.3847    0.8384    0.2653    0.0094    5.3464    4.4664  0.4783E+01  0.1403E+04 -0.3155E-05  0.4430E-07  0.2169E+04  0.000
    7.1827  2  1   24.2920   14.9705    7.4607    0.0000    2.5269    0.8384    0.3681    0.0094    5.3473    4.4665  0.2558E+01  0.1404E+04 -0.4117E-05  0.9770E-07  0.2169E+04  0.000
    7.1835  2  1   24.2874   14.9707    7.4560    0.0000    2.6677    0.8385    0.5090    0.0094    5.3471    4.4665  0.2109E+00  0.1404E+04 -0.5382E-05  0.2022E-06  0.2169E+04  0.000
    7.1844  2  1   24.2815   14.9710    7.4393    0.0000    2.7891    0.8385    0.6740    0.0094    5.3442    4.4666  0.1737E+00  0.1404E+04 -0.6993E-05  0.3918E-06  0.2166E+04  0.000
    7.1852  4  1   24.2741   14.9716    7.4250    0.0000    2.8885    0.8385    0.8568    0.0095    5.3395    4.4667  0.1135E+00  0.1405E+04 -0.8696E-05  0.6638E-06  0.2143E+04  0.000
    7.1852  4  1   24.2741   14.9716    7.4250    0.0000    2.8885    0.8385    0.8568    0.0095    5.3395    4.4667  0.1135E+00  0.1405E+04 -0.1033E-04  0.1003E-05  0.2143E+04  0.000
    7.1865  4  1   24.2609   14.9729    7.4184    0.0000    2.9541    0.8386    0.9965    0.0095    5.3266    4.4668  0.8435E-01  0.1406E+04 -0.1033E-04  0.1003E-05  0.2143E+04  0.000
    7.1865  4  1   24.2605   14.9729    7.4183    0.0000    2.9560    0.8386    1.0009    0.0095    5.3263    4.4668  0.8364E-01  0.1406E+04  0.0000E+00  0.0000E+00  0.2143E+04  0.000
